Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1968,0,0,0,0,0,0,0,0,0,0,0,332
1969,0,0,0,0,0,0,0,0,0,0,0,2407
1970,0,0,0,0,0,0,0,0,0,0,0,5590
1971,0,0,0,0,0,0,0,0,0,0,0,14162
1972,0,0,0,0,0,0,0,0,0,0,0,23114
1973,0,0,0,0,0,0,0,0,0,0,0,37793
1974,0,0,0,0,0,0,0,0,0,0,0,22980
1975,0,0,0,0,0,0,0,0,0,0,0,42529
1976,0,0,0,0,0,0,0,0,0,0,0,48928
1977,0,0,0,0,0,0,0,0,0,0,0,80826
1978,0,0,0,0,0,0,0,0,0,0,0,103274
1979,0,0,0,0,0,0,0,0,0,0,0,127871
1980,0,0,0,0,0,0,0,0,0,0,0,142968
1981,0,0,0,0,0,0,0,0,0,0,0,152062
1982,0,0,0,0,0,0,0,0,0,0,0,150335
1983,0,0,0,0,0,0,0,0,0,0,0,156840
1984,0,0,0,0,0,0,0,0,0,0,0,157385
1985,0,0,0,0,0,0,0,0,0,0,0,178175
1986,0,0,0,0,0,0,0,0,0,0,0,183242
1987,0,0,0,0,0,0,0,0,0,0,0,165222
1988,0,0,0,0,0,0,0,0,0,0,0,155956
1989,0,0,0,0,0,0,0,0,0,0,0,102402
1990,0,0,0,0,0,0,0,0,0,0,0,40316
1991,0,0,0,0,0,0,0,0,0,0,0,39480
1992,0,0,0,0,0,0,0,0,0,0,0,39732
1993,0,0,0,0,0,0,0,0,0,0,0,20933
1994,0,0,0,0,0,0,0,0,0,0,0,10949
1995,0,0,0,0,0,0,0,0,0,0,0,1801
1996,0,0,0,0,0,0,0,0,0,0,0,1111
1997,0,0,0,0,0,0,0,0,0,0,0,640
2005,16929,20878,23689,24792,22218,26522,27963,24538,21745,22508,19265,24964
2006,16226,18847,26073,20859,21303,25392,24748,23878,19463,18129,19677,25003
2007,15964,17312,24967,19002,21393,24348,20591,24375,23355,22335,20557,22916
2008,15598,18167,22476,23210,24858,23497,18529,20505,15572,13653,14290,17800
2009,12475,13252,16568,15936,17668,18823,21950,28751,14662,18231,17009,14729
2010,15631,18111,23795,23205,23671,21623,23983,22339,21432,22720,20792,26694
2011,18858,21683,26916,24762,20036,19794,21730,20517,20934,20081,17657,33701
2012,22807,43492,32387,26220,29724,27702,19222,26737,27683,26119,28206,36653
2013,27663,28433,36701,32943,39892,39508,35994,41061,31755,34483,36621,40172
2014,33000,34909,44479,40083,44170,41367,45714,50246,41517,43012,45273,49923
2015,40812,41358,49111,47241,49561,44335,50517,52697,53070,51629,46070,56274
2016,41101,42011,49285,50380,50083,46598,52093,60418,54918,53760,51308,63177
2017,43879,45500,54871,52368,56135,52057,55703,63215,55120,54045,51721,63342
2018,44357,47249,58097,53170,60146,59841,59426,64088,57044,55394,56782,64541
2019,46072,49081,61601,57288,63972,61511,64106,70039,51659,55531,56893,62364
2020,46285,51695,32611,30620,51988,53911,51458,57885,60103,61411,50413,63558
2021,46400,48300,65726,61389,56558,42877,50125,49373,56724,36817,33045,51146
2022,44158,44866,43322,45748,42526,43175,41536,50126,45658,48568,50138,56760
2023,44373,45790,53213,51014,54531,55168,50389,56407,56335,53772,53327,57764
2024,44510,47189,61297,55863,58356,55228,51702,63053,56414,54552,57690,61871
2025,46354,49125,71478,56011,52292,46515,0,0,0,0,0,0
